Record Number,Measurement Date Time,Sample Name,Depth (cm),,Year (AD),Year Increment,Laser Obscuration,Weighted Residual,Dx (10),Dx (25),Dx (50),Dx (75),Std. Dept.,Dx (90),Mode Count,"Result In Range  (.01,2) ?m","Result In Range  (2,63) ?m","Result In Range  (63,2000) ?m","Result In Range  (2,4) ?m","Result In Range  (8,16) ?m","Result In Range  (16,31) ?m","Result In Range  (31,63) ?m","Result In Range  (63,125) ?m","Result In Range  (125,250) ?m","Result In Range  (250,500) ?m","Result In Range  (500,1000) ?m","Result In Range  (1000,2000) ?m",,,,,
4,1/4/2018 16:04,Average of 'CB17_V1_0',0,,2017,,11.65,0.68,2.47,4.72,8.65,15.2,1.191615466,24.2,2,8.39,90.88,0.73,11.28,30.64,17.63,4.54,0.73,0.005,0,0,0,,,,,
12,1/4/2018 16:10,Average of 'CB17_V1_5',5,,1996.146486,20.85351445,11.01,0.57,3.12,5.35,9.45,16,2.097971542,24.9,2,5.55,94.25,0.2,10.04,32.89,19.75,5.14,0.2,0,0,0,0,,,,std,0.882655306
16,1/4/2018 16:29,Average of 'CB17_V2_10',10,,1975.292971,20.85351445,9.72,0.58,2.54,4.92,9.26,16.5,1.882711974,26.4,2,8.09,91.1,0.81,10.64,30.23,19.49,5.85,0.81,0.0002,0,0,0,,,,mean,7.598214286
20,1/4/2018 16:35,Average of 'CB17_V2_15',15,,1964,11.2929711,10.82,0.58,2.33,4.71,8.98,16.2,1.565487348,26.2,2,8.88,90.39,0.73,11.21,29.39,19.04,5.78,0.73,0.0001,0,0,0,,,,,
24,1/4/2018 16:41,Average of 'CB17_V2_20',20,,1953,11,9.2,0.62,0.997,3.78,7.83,15.5,0.262600488,26.4,2,13.68,85.43,0.89,12.9,25.34,16.88,6.06,0.88,0.003,0,0,0,,,,,
28,1/4/2018 16:47,Average of 'CB17_V2_30',30,,1901,52,12.33,0.54,1.07,3.99,8.53,17.1,1.055662055,29.3,2,13.11,85.67,1.22,11.99,25.04,18.5,7.55,1.22,0.003,0,0,0,,,,,
32,1/4/2018 16:54,Average of 'CB17_V2_40',40,,1860,41,8.87,0.59,1.05,3.98,8.44,16.7,0.953696996,28.4,2,13.12,85.93,0.95,12.01,25.41,18.38,7.22,0.95,0.0001,0,0,0,,,,,
36,1/4/2018 17:00,Average of 'CB17_V2_50',50,,1798,62,12.17,0.6,0.83,3.27,7.18,14.9,-0.473813824,26.1,2,16.94,82.34,0.72,13.48,23.41,16.01,6.01,0.72,0.00004,0,0,0,,,,,
48,1/4/2018 17:22,Average of 'CB17_V2_51',51,,1798,0,10.44,0.6,0.867,3.46,7.73,16.3,0.149305979,28.5,2,16,83.04,0.96,12.84,23.2,17.29,7.36,0.96,0.00008,0,0,0,,,,,
52,1/4/2018 17:28,Average of 'CB17_V2_56',56,,1772,26,13.12,0.6,0.903,3.5,7.47,15.3,-0.145259746,26.6,2,15.38,83.83,0.78,13.37,23.88,16.64,6.25,0.78,0.0001,0,0,0,,,,,
