Record Number,Measurement Date Time,Sample Name,Depth (cm),Year,Year Increment,Laser Obscuration,Weighted Residual,Dx (10),Dx (25),Dx (50),std. dept.,Dx (75),Dx (90),Mode Count,"Result In Range  (.01,2) ?m","Result In Range  (2,63) ?m","Result In Range  (63,2000) ?m","Result In Range  (2,4) ?m","Result In Range  (8,16) ?m","Result In Range  (16,31) ?m","Result In Range  (31,63) ?m","Result In Range  (63,125) ?m","Result In Range  (125,250) ?m","Result In Range  (250,500) ?m","Result In Range  (500,1000) ?m","Result In Range  (1000,2000) ?m",notes,,
36,1/3/2018,Average of 'CB17_V2_0cm',0,2017,,10.08,0.87,1.74,4.18,7.68,1.772061056,13.3,20.9,2,10.66,88.44,0.9,12.86,30.1,14.67,2.44,0.85,0.05,0,0,0,,,
240,1/4/2018 16:17,Average of 'CB17_V2_2.5',2.5,2000.541701,16.45829892,11.37,0.63,1.16,4,7.58,1.634067982,13.5,21.4,2,11.99,87.75,0.27,13,28.88,15.3,3.13,0.27,0,0,0,0,,std,0.724674052
96,1/4/2018,Average of 'CB17_V2_5cm',5,1984.083402,16.45829892,11.65,0.65,2.13,4.28,7.73,1.841057593,13.3,20.5,2,9.62,90.14,0.25,13.03,30.72,14.95,2.46,0.25,0,0,0,0,,mean,6.395833333
244,1/4/2018 16:22,Average of 'CB17_V2_9',9,1959.646847,24.43655524,12.23,0.74,0.76,2.9,6.06,-0.46342674,11.6,19.4,2,18.89,81.11,0.0002,15.4,24,12.48,2.39,0.0002,0,0,0,0,,,
40,1/3/2018,Average of 'CB17_V2_10cm',10,1954.646847,5,10.67,0.64,0.817,3.07,5.93,-0.642817735,10.6,17.2,2,17.23,82.77,0,16.34,24.96,10.44,1.32,0,0,0,0,0,,,
44,1/3/2018,Average of 'CB17_V2_20cm',20,1889.646847,65,11.06,0.65,0.831,3.17,6.55,0.212739322,12.9,22.5,2,17,82.52,0.48,14.88,23.83,13.85,4.12,0.48,0.0001,0,0,0,,,
48,1/3/2018,Average of 'CB17_V2_30cm',30,1821.646847,68,10.68,0.64,0.843,3.2,6.35,-0.063246825,12,20.3,2,16.47,83.08,0.45,15.48,24.56,12.5,2.95,0.45,0.00009,0,0,0,,,
100,1/4/2018,Average of 'CB17_V2_35cm',35,1788.648057,32.99878946,9.72,1.02,0.783,2.95,6.36,-0.049447518,12.9,22.7,2,18.55,80.68,0.77,14.98,23.01,13.53,4.18,0.77,0.003,0,0,0,,,
52,1/3/2018,Average of 'CB17_V2_40cm',40,1759.648057,29,9.24,0.67,0.721,2.55,5.48,-1.263786568,10.8,19.5,2,21.13,78.47,0.4,16.85,21.13,10.94,2.94,0.4,0.00009,0,0,0,,,
104,1/4/2018,Average of 'CB17_V2_45cm',45,1733.648057,26,10.88,0.75,0.925,3.57,6.95,0.764711617,12.5,20.2,2,14.52,85.06,0.42,13.98,27.46,13.47,2.51,0.42,0.0001,0,0,0,,,
