Core #,Original Depth (cm),Depth (cm),Year (AD),LOI (%),Std departure,REDO VALUES,turbidite
226A,0,0,2017,4.22287390029325,#VALUE!,3.77950753945718,
226A,5,5,1996.07949790795,3.94701895974163,#VALUE!,3.59605619331735,
226A,10,10,1975.1589958159,4.15041080699643,#VALUE!,3.71228544720468,
226A,12,12,,4.09112704938929,,,TRUE
226A,15,15,1964,4.46539269429808,#VALUE!,3.91200523690539,
226A,20,20,1953,4.85260246311093,#VALUE!,,
226A,25,25,1923,4.71117717494517,#VALUE!,,
226A,30,30,1901,4.63155410740711,#VALUE!,,
226A,35,35,1875,4.71898999888979,#VALUE!,,
226A,40,40,1860,4.84969493037119,#VALUE!,,
226A,45,45,1842,5.02856570111271,#VALUE!,,
226A,50,50,1820,5.01671600042147,#VALUE!,,
226B,0,51,1798,4.66197395166757,#VALUE!,,
226B,5,56,1772,4.5561771247556,#VALUE!,,
226B,10,61,1749,4.15849502084978,#VALUE!,,
226B,15,66,1724,4.30430526497631,#VALUE!,,
226B,20,71,1707,4.44556681224425,#VALUE!,,
226B,25,76,1679,4.62720378213349,#VALUE!,,
226B,30,81,1660,4.39287234454209,#VALUE!,,
226B,35,86,1642,4.42968727701747,#VALUE!,,
226B,37.5,88.5,1625,4.66821554960822,#VALUE!,,
226B,40,91,1615,4.85117807711913,#VALUE!,,
226B,42.5,93.5,1605,4.69804618117219,#VALUE!,,
226B,45,96,1595,4.50127330339596,#VALUE!,,
226B,50,101,1573,4.7406932863536,#VALUE!,,
226B,55,106,1548,4.72131957509091,#VALUE!,,
226B,60,111,1521,4.83728200685512,#VALUE!,,
226B,65,116,1495,4.5114060265425,#VALUE!,,
226B,70,121,1469,4.41028131654644,#VALUE!,,
226B,75,126,1446,5.11604783693455,#VALUE!,,
226B,80,131,1424,5.04310383017163,#VALUE!,,
226B,85,136,1399,4.81305299210349,#VALUE!,,
226B,90,141,1383,4.50131947382196,#VALUE!,,
226B,95,146,1359,4.57668944570999,#VALUE!,,
226B,100,151,1335,4.46438956305981,#VALUE!,,
226B,105,156,1315,4.5493988972252,#VALUE!,,
226B,107,158,1307,4.61654384062652,#VALUE!,,
226C,0,159,1303,5.15574450628842,#VALUE!,,
226C,5,164,1280,4.92013718765309,#VALUE!,,
226C,10,169,1254,4.7052531734977,#VALUE!,,
226C,16,175,1229,4.83905589412856,#VALUE!,,
226C,20,179,1211,4.99794591236577,#VALUE!,,
226C,21,180,1208,4.90882198199274,#VALUE!,,
226C,25,184,1192,5.01662726479045,#VALUE!,,
226C,30,189,1173,5.06514775222264,#VALUE!,,
226C,35,194,1149,4.98922052412212,#VALUE!,,
226C,40,199,1125,4.99290363627447,#VALUE!,,
226C,45,204,1104,4.92934908501278,#VALUE!,,
226C,50,209,1086,5.0829885036378,#VALUE!,,
226C,55,214,1064,4.99908807462143,#VALUE!,,
226C,60,219,1044,5.02144936417963,#VALUE!,,
226C,65,224,1020,5.09359700489571,#VALUE!,,
226C,70,229,1002,4.80510303470133,#VALUE!,,TRUE
226C,75,234,981,4.98983479067571,#VALUE!,,
226C,80,239,960,4.90339096307864,#VALUE!,,
226C,85,244,938,5.07956113518158,#VALUE!,,
226C,90,249,916,5.1049064995062,#VALUE!,,
226C,95,254,895,4.92905225434636,#VALUE!,,
226C,100,259,889,4.49726593014194,#VALUE!,,
226C,105,264,857,4.37699063796922,#VALUE!,,
226C,110,269,837,4.59909864614088,#VALUE!,,
226D,0,270,829,4.57485407793016,#VALUE!,,
226D,5,275,812,4.96804324073431,#VALUE!,,
226D,10,280,798,4.86407924806133,#VALUE!,,
226D,15,285,787,4.62255600155393,#VALUE!,,
226D,20,290,773,5.0153762662808,#VALUE!,,
226D,25,295,757,4.9899752788432,#VALUE!,,
226D,30,300,736,5.03868878848298,#VALUE!,,
226D,35,305,720,4.73770751614576,#VALUE!,,
226D,40,310,703,5.0011445405418,#VALUE!,,
226D,45,315,684,4.89121845862098,#VALUE!,,
226D,50,320,668,5.28595829492306,#VALUE!,,
226D,55,325,647,4.78813474908886,#VALUE!,,
226D,60,330,632,5.12553209973074,#VALUE!,,TRUE
226D,65,335,626,4.81459797033541,#VALUE!,,
226D,70,340,596,4.86847869564364,#VALUE!,,
226D,75,345,574,4.94445079739276,#VALUE!,,
226D,80,350,558,4.88777206771452,#VALUE!,,
226D,85,355,542,5.03213625007174,#VALUE!,,
226D,90,360,521,4.8214584145732,#VALUE!,,
226D,95,365,506,4.74459098697071,#VALUE!,,
226D,100,370,485,4.53381655577797,#VALUE!,,
226D,105,375,466,4.51724544062613,#VALUE!,,
226D,110,380,448,4.2788606572534,#VALUE!,,
226D,114,384,437,4.61507785451428,#VALUE!,,
