Original Depth (cm),,Depth (cm),LOI %,Std Departure,Notes
224A,0,0,3.36633663366326,#DIV/0!,
224A,2.5,2.5,4.46694,#DIV/0!,
224A,5,5,4.39560439560435,#DIV/0!,
224A,9,9,4.68197623175488,#DIV/0!,
224A,10,10,4.40097799510998,#DIV/0!,
224A,12.5,12.5,4.94065959701026,#DIV/0!,
224A,15,15,4.75624256837109,#DIV/0!,
224A,17.5,17.5,4.66663529854594,#DIV/0!,
224A,20,20,5.05992010652467,#DIV/0!,
224A,22.5,22.5,4.86462711367401,#DIV/0!,
224A,25,25,5.30085959885373,#DIV/0!,
224A,27.5,27.5,4.78403917517886,#DIV/0!,
224A,30,30,4.90424673731673,#DIV/0!,Second run value. First run value: 2.6499302649928
224A,32.5,32.5,4.94198337013185,#DIV/0!,
224A,35,35,4.15045395590143,#DIV/0!,
224A,37.5,37.5,4.81780433854627,#DIV/0!,
224A,40,40,4.91551459293395,#DIV/0!,
224A,42.5,42.5,4.79897954362916,#DIV/0!,
224A,45,45,3.93162393162387,#DIV/0!,
224A,47.5,47.5,4.53735528660327,#DIV/0!,
224A,50,50,4.71841704718399,#DIV/0!,
224A,52.5,52.5,4.73875835147507,#DIV/0!,
224A,55,55,4.83870967741954,#DIV/0!,
224A,60,60,4.4852191641183,#DIV/0!,
224A,65,65,4.25240054869669,#DIV/0!,
224A,70,70,4.39121756487031,#DIV/0!,
224A,75,75,4.57875457875432,#DIV/0!,
224A,80,80,4.20070011668586,#DIV/0!,
224A,82.5,82.5,4.56081440078196,#DIV/0!,
224A,85,85,4.55269405294937,#DIV/0!,Second run value. First run value: 3.31010452961645
224A,90,90,4.97237569060791,#DIV/0!,
224B,0,91,4.16666666666683,#DIV/0!,
224B,2.5,93.5,4.5760247205309,#DIV/0!,
224B,5,96,5.02092050209187,#DIV/0!,Redo Value : 4.92239
224B,10,101,4.55445544554447,#DIV/0!,
224B,15,106,5.05979760809567,#DIV/0!,Removed Flood @ 20 / 115 cm (3.91566265060256 % LOI)
224B,25,116,4.74268415741681,#DIV/0!,Removed Flood @30 / 125 cm (3.39805825242719 % LOI)
224B,35,126,4.9227799227801,#DIV/0!,
224B,40,131,4.89999999999995,#DIV/0!,
224B,42.5,133.5,4.98359616746829,,
224B,45,136,3.68271954674235,#DIV/0!,
224B,47.5,138.5,5.09006839418166,,
224B,50,141,4.38432835820901,#DIV/0!,
224B,55,146,4.54086781029245,#DIV/0!,
224B,60,151,4.81036077705824,#DIV/0!,
224B,65,156,4.76663356504486,#DIV/0!,
224B,67.5,158.5,4.97528215651546,,
224B,70,161,5.70093457943925,#DIV/0!,
224B,72.5,163.5,5.09935781520328,,
224B,75,166,4.75708502024298,#DIV/0!,
224B,80,171,4.73790322580617,#DIV/0!,
224B,82.5,173.5,4.89256265486027,#DIV/0!,
224B,85,176,5.08149568552261,#DIV/0!,"Minimal layering, dense compacted seds (~180 - 190 cm)"
224B,87.5,178.5,4.81820636277753,#DIV/0!,
224B,90,181,4.63885337060285,#DIV/0!,Second run value. First run value: 6.29629629629672
224B,95,186,5.40037243947858,#DIV/0!,
224B,100,191,5.44783010156949,#DIV/0!,
224B,105,196,5.39772727272682,#DIV/0!,REDO VALUE: 5.01505
224C,0,197,4.4852191641183,#DIV/0!,
224C,5,202,4.63768115942012,#DIV/0!,
224C,8,205,4.91391955531551,,
224C,10,207,3.86100386100379,#DIV/0!,
224C,15,212,4.73977695167304,#DIV/0!,
224C,20,217,5.205479452055,#DIV/0!,
224C,22.5,219.5,5.11064581812593,,
224C,25,222,5.75414123801212,#DIV/0!,
224C,27.5,224.5,5.05856927160937,,
224C,30,227,5.81289736603089,#DIV/0!,
224C,32.5,229.5,4.89805572638263,,
224C,35,232,5.18999073215918,#DIV/0!,
224C,40,237,4.99519692603296,#DIV/0!,
224C,45,242,5.36062378167639,#DIV/0!,
224C,50,247,5.45454545454565,#DIV/0!,
224C,55,252,5.29865125240843,#DIV/0!,
224C,60,257,5.8706467661696,#DIV/0!,
224C,62.5,259.5,4.91927661086628,,
224C,65,262,4.06746031746002,#DIV/0!,
224C,67.5,264.5,4.94274276138171,,
224C,70,267,4.47761194029837,#DIV/0!,
224C,75,272,4.75763016158028,#DIV/0!,
224C,80,277,5.05569837189383,#DIV/0!,
224C,85,282,5.3333333333331,#DIV/0!,
224C,90,287,4.44015444015437,#DIV/0!,
224C,95,292,5.08308895405666,#DIV/0!,
224C,100,297,4.86641221374031,#DIV/0!,
224C,105,302,4.06137184115476,#DIV/0!,
