core_num,img_J_numb,yr_bp,Year,cumul_depth_mm,layer_thickness_mm,Average,Std Dev,Min,Max
EK4,0,1,2016,23.6121,,9.8979,2.89697727,6.6901,13.5307
EK4,2,2,2015,32.4031,8.791,,,,
EK4,4,3,2014,36.4166,6.6901,,,,
EK4,6,4,2013,44.1313,10.5798,,,,
EK4,8,5,2012,58.8092,13.5307,,,,
EK4,10,6,2011,71.7146,,,,,
EK8,1,1,2016,5.4372,5.4372,4.4428,2.462208525,1.6843,7.329
EK8,5,3,2015,18.5873,1.6843,,,,
EK8,9,5,2014,33.9319,7.329,,,,
EK8,11,6,2013,37.2526,3.3207,,,,
EK8,13,7,2012,47.0761,,,,,
EK8,15,8,2011,60.2794,,,,,
EK9,1,1,2016,18.4473,,3.598781818,1.117239068,2.1893,5.6306
EK9,3,2,2015,22.6616,4.2143,,,,
EK9,5,3,2014,28.2922,5.6306,,,,
EK9,7,4,2013,33.0828,4.7906,,,,
EK9,9,5,2012,37.4888,4.406,,,,
EK9,13,7,2011,46.0484,2.4802,,,,
EK9,15,8,2010,48.5736,2.5252,,,,
EK9,17,9,2009,51.1467,2.5731,,,,
EK9,19,10,2008,53.336,2.1893,,,,
EK9,21,11,2007,56.3997,3.0637,,,,
EK9,23,12,2006,60.3999,4.0002,,,,
EK9,25,13,2005,64.1133,3.7134,,,,
EK9,27,14,2004,68.3002,,,,,
EK10,1,1,2016,8.4887,,5.44105,1.815373734,3.3114,8.6007
EK10,3,2,2015,14.4391,5.9504,,,,
EK10,5,3,2014,23.0398,8.6007,,,,
EK10,7,4,2013,26.4847,3.4449,,,,
EK10,11,6,2012,43.7185,6.0856,,,,
EK10,15,8,2011,57.3341,4.3118,,,,
EK10,17,9,2010,60.6455,3.3114,,,,
EK10,19,10,2009,65.5151,4.8696,,,,
EK10,21,11,2008,72.4691,6.954,,,,
EK10,23,12,2007,84.7315,,,,,
EK11,1,1,2016,4.7644,4.7644,2.772733333,0.958286107,1.2555,4.7644
EK11,3,2,2015,6.0199,1.2555,,,,
EK11,5,3,2014,7.8289,1.809,,,,
EK11,7,4,2013,10.5007,2.6718,,,,
EK11,9,5,2012,12.9601,2.4594,,,,
EK11,11,6,2011,16.7944,3.8343,,,,
EK11,13,7,2010,19.9512,3.1568,,,,
EK11,15,8,2009,23.9113,3.9601,,,,
EK11,17,9,2008,26.9961,3.0848,,,,
EK11,19,10,2007,29.3461,2.35,,,,
EK11,21,11,2006,32.7215,3.3754,,,,
EK11,25,13,2004,44.0279,2.026,,,,
EK11,27,14,2003,47.059,3.0311,,,,
EK11,31,16,2001,54.4059,1.6817,,,,
EK11,35,18,1999,61.286,2.1307,,,,
