Core Section,Original Winter Layer #,Year,Interpolated Year (BP),AD,,Couplet Thickness (mm),Sub Core Depth (mm),Sub Core Depth (cm),Cumulative Depth (mm),Sus Sed Yield (MG km-1 a-1),Notes,Disturbed Years
,,,46.35315308,1970.646847,1971,70.41,,,70.41,,Disturbed Top,46.35315308
224A,1,0,47.35315308,1969.646847,1970,1.732,,,72.142,6.576890802,,
224A,3,1,48.35315308,1968.646847,1969,2.58,,,74.722,9.796985144,,
224A,5,2,49.35315308,1967.646847,1968,0.97,,,75.692,3.683362632,,
224A,7,3,50.35315308,1966.646847,1967,1.064,,,76.756,4.040307052,,
224A,9,4,51.35315308,1965.646847,1966,0.642,,,77.398,2.437854443,,
224A,11,5,52.35315308,1964.646847,1965,1.17,,,78.568,4.442818844,,
224A,13,6,53.35315308,1963.646847,1964,1.812,,,80.38,6.880673287,,
224A,15,7,54.35315308,1962.646847,1963,2.416,,,82.796,9.17423105,,
224A,17,8,55.35315308,1961.646847,1962,1.907,,,84.703,7.241414988,,
224A,19,9,56.35315308,1960.646847,1961,2.855,,,87.558,10.84123744,,
224A,21,10,57.35315308,1959.646847,1960,1.696,,,89.254,6.440188684,,
224A,23,11,58.35315308,1958.646847,1959,1.181,,,90.435,4.484588936,,
224A,25,12,59.35315308,1957.646847,1958,4.104,,,94.539,15.58404149,,
224A,27,13,60.35315308,1956.646847,1957,2.16,,,96.699,8.202127097,,
224A,29,14,61.35315308,1955.646847,1956,1.458,,,98.157,5.536435791,,
224A,31,15,62.35315308,1954.646847,1955,1.473,,,99.63,5.593395007,,
224A,33,16,63.35315308,1953.646847,1954,1.16,,,100.79,4.404846034,,
224A,35,17,64.35315308,1952.646847,1953,1.042,,,101.832,3.956766868,,
224A,37,18,65.35315308,1951.646847,1952,1.612,,,103.444,6.121217075,,
224A,39,19,66.35315308,1950.646847,1951,2.144,,,105.588,8.1413706,,
224A,41,20,67.35315308,1949.646847,1950,1.265,,,106.853,4.803560545,,
224A,43,21,68.35315308,1948.646847,1949,2.297,,,109.15,8.722354603,,
224A,45,22,69.35315308,1947.646847,1948,0.851,,,110.001,3.231486185,,
224A,47,23,70.35315308,1946.646847,1947,1.729,,,111.73,6.565498959,,
224A,49,24,71.35315308,1945.646847,1946,2.527,,,114.257,9.595729248,,
224A,51,25,72.35315308,1944.646847,1945,2.36,,,116.617,8.96158331,,
224A,53,26,73.35315308,1943.646847,1944,1.297,,,117.914,4.92507354,,
224A,55,27,74.35315308,1942.646847,1943,1.516,,,119.43,5.756678092,,
224A,57,28,75.35315308,1941.646847,1942,2.654,,,122.084,10.07798394,,
224A,59,29,76.35315308,1940.646847,1941,1.789,,,123.873,6.793335823,,
224A,61,30,77.35315308,1939.646847,1940,1.726,,,125.599,6.554107116,,
224A,63,31,78.35315308,1938.646847,1939,2.051,,,127.65,7.788223461,,
224A,65,32,79.35315308,1937.646847,1938,1.849,,,129.499,7.021172687,,
224A,67,33,80.35315308,1936.646847,1937,1.376,,,130.875,5.225058744,,
224A,69,34,81.35315308,1935.646847,1936,1.691,,,132.566,6.421202279,,
224A,71,35,82.35315308,1934.646847,1935,1.225,,,133.791,4.651669303,,
224A,73,36,83.35315308,1933.646847,1934,1.562,,,135.353,5.931353021,,
224A,75,37,84.35315308,1932.646847,1933,1.209,,,136.562,4.590912806,,
224A,77,38,85.35315308,1931.646847,1932,1.889,,,138.451,7.173063929,,
224A,79,39,86.35315308,1930.646847,1931,1.602,,,140.053,6.083244264,,
224A,81,40,87.35315308,1929.646847,1930,1.283,,,141.336,4.871911605,,
224A,83,41,88.35315308,1928.646847,1929,2.122,,,143.458,8.057830417,,
224A,85,42,89.35315308,1927.646847,1928,1.545,,,145.003,5.866799243,,
224A,87,43,90.35315308,1926.646847,1927,1.283,,,146.286,4.871911605,,
224A,89,44,91.35315308,1925.646847,1926,0.919,,,147.205,3.489701297,,
224A,91,45,92.35315308,1924.646847,1925,0.972,,,148.177,3.690957194,,
224A,93,46,93.35315308,1923.646847,1924,1,,,149.177,3.797281064,,
224A,95,47,94.35315308,1922.646847,1923,1.238,,,150.415,4.701033957,,
224A,97,48,95.35315308,1921.646847,1922,1.198,,,151.613,4.549142714,,
224A,99,49,96.35315308,1920.646847,1921,1.6,,,153.213,6.075649702,,
224A,101,50,97.35315308,1919.646847,1920,1.258,,,154.471,4.776979578,,
224A,103,51,98.35315308,1918.646847,1919,1.654,,,156.125,6.280702879,,
224A,105,52,99.35315308,1917.646847,1918,1.27,,,157.395,4.822546951,,
224A,107,53,100.3531531,1916.646847,1917,1.336,,,158.731,5.073167501,,
224A,109,54,101.3531531,1915.646847,1916,1.27,,,160.001,4.822546951,,
224A,111,55,102.3531531,1914.646847,1915,1.224,,,161.225,4.647872022,,
224A,113,56,103.3531531,1913.646847,1914,1.697,,,162.922,6.443985965,,
