Core Section,Original Winter Layer,Orig Year,Interpolated Year,Year AD,Rounded Year AD,Couplet Thickness (cm),Cumulative Depth (cm),Sus Sed Yield (T km-2 a-1),Notes,Disturbed Years,Core Section
226A,N/A,0,45,1972,1972,10.6794,10.6794,,disturbed,44.5406044391163,226A
226A,1,1,46,1971,1971,0.12023,10.79963,4.56547102278215, ,,226A
226A,3,2,47,1970,1970,0.2984,11.09803,11.3310866938218, ,,226A
226A,5,3,47,1970,1970,1.2423,12.34033,,Disturbed,,226A
226A,7,4,52,1965,1965,1.4167,13.75703,,disturbed,5.90863478368599,226A
226A,9,5,53,1964,1964,0.14726,13.90429,,disturbed,0.614177707521422,226A
226A,11,6,64,1953,1953,2.73564,16.63993,,disturbed,11.4095416528854,226A
226A,13,7,94,1923,1923,7.1658,23.80573,,disturbed,29.8864227662434,226A
226A,15,8,107,1910,1910,3.0078,26.81353,,disturbed,12.5446401513169,226A
226A,17,9,108,1909,1909,0.4443,27.25783,16.8713197656334, ,,226A
226A,19,10,109,1908,1908,0.5658,27.82363,21.4850162579235, ,,226A
226A,21,11,110,1907,1907,0.16767,27.9913,6.36690115936025, ,,226A
226A,23,12,111,1906,1906,0.22488,28.21618,8.53932565585336, ,,226A
226A,25,13,112,1905,1905,0.2853,28.50148,10.8336428744885, ,,226A
226A,27,14,113,1904,1904,0.4475,28.94898,16.9928327596691, ,,226A
226A,29,15,114,1903,1903,0.26181,29.21079,9.94166155264572, ,,226A
226A,31,16,115,1902,1902,0.3051,29.51589,,disturbed,1.27248145161473,226A
226A,33,17,116,1901,1901,0.26734,29.78323,10.1516511954635, ,,226A
226A,35,18,117,1900,1900,0.22078,30.00401,8.38363713224522, ,,226A
226A,37,19,118,1899,1899,0.17942,30.18343,6.8130816843348, ,,226A
226A,39,20,119,1898,1898,0.20626,30.38969,7.83227192180858, ,,226A
226A,41,21,120,1897,1897,0.11244,30.50213,4.26966282792668, ,,226A
226A,43,22,121,1896,1896,0.28417,30.7863,10.7907335984696, ,,226A
226A,45,23,122,1895,1895,0.17364,30.95994,6.59359883885796, ,,226A
226A,47,24,125,1892,1892,0.7567,31.71664,,disturbed,3.1559708765548,226A
226A,49,25,126,1891,1891,0.18103,31.89767,6.87421790945897, ,,226A
226A,51,26,127,1890,1890,0.3371,32.23477,12.8006344654401, ,,226A
226A,53,27,128,1889,1889,0.26328,32.49805,9.99748158428083, ,,226A
226A,55,28,129,1888,1888,0.21614,32.71419,8.20744329089357, ,,226A
226A,57,29,134,1883,1883,1.0727,33.78689,,disturbed,4.47391298966609,226A
226A,59,30,135,1882,1882,0.16963,33.95652,6.44132786820707, ,,226A
226A,61,31,136,1881,1881,0.11506,34.07158,4.36915159179335, ,,226A
226A,63,32,137,1880,1880,0.11135,34.18293,4.2282724643333, ,,226A
226A,65,33,138,1879,1879,0.11618,34.29911,4.41168113970581, ,,226A
226A,67,34,139,1878,1878,0.08792,34.38703,3.33856951112872, ,,226A
226A,69,35,140,1877,1877,0.12947,34.5165,4.91633979306001, ,,226A
226A,71,36,141,1876,1876,0.10092,34.61742,3.83221604939844, ,,226A
226A,73,37,142,1875,1875,0.1316,34.74902,4.99722187971497, ,,226A
226A,75,38,149,1868,1868,1.6531,36.40212,,disturbed,6.8945889467857,226A
226A,77,39,150,1867,1867,0.10913,36.51125,4.14397282472108, ,,226A
226A,79,40,151,1866,1866,0.08121,36.59246,3.08377195176028, ,,226A
226A,81,41,152,1865,1865,0.12442,36.71688,4.72457709934754, ,,226A
226A,83,42,153,1864,1864,0.13237,36.84925,5.02646094390479, ,,226A
